Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Effect: Impact to flight,Effect: Other,Location: Nearby if en route,Aircraft: Flight Number,FlightDate,Record ID,Effect: Indicated Damage,Location: Freeform en route,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Reported: Date,Wildlife: Size,Conditions: Sky,Wildlife: Species,When: Time (HHMM),When: Time of day,Pilot warned of birds or wildlife?,Cost: Aircraft time out of service (hours),Cost: Other (inflation adj),Cost: Repair (inflation adj),Cost: Total $,Miles from airport,Feet above ground,Number of human fatalities,Number of people injured,Speed (IAS) in knots
Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-757-200,2 to 10,,,,586,1/1/00 0:00,200508,No damage,,2,CONTINENTAL AIRLINES,New Jersey,Take-off run,Fog,FALSE,FALSE,3 BIRDS. NO DMG,,Medium,Overcast,Unknown bird - medium,943,Day,Y,,0,0,0,0,0,,,
Airplane,UNKNOWN,Unknown,B-737-300,1,,,,,1/1/00 0:00,206593,No damage,HDN-LAX,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,BIRD DEBRIS REMOVED,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,DENVER INTL AIRPORT,Unknown,B-737-300,1,,,,,1/1/00 0:00,206594,No damage,,2,UNITED AIRLINES,Colorado,Climb,,FALSE,FALSE,BIRDSTRIKE ON DEPTR. HEAVY BIRD SMELL IN CABIN. NO ENG PARAMETER  SHIFT OR VIBRATION. INSPCTD ENG.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,CHICAGO O'HARE INTL ARPT,Unknown,B-727-200,1,,,,,1/1/00 0:00,204095,No damage,,3,UNITED AIRLINES,Illinois,Approach,,FALSE,FALSE,,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
,JOHN F KENNEDY INTL,Unknown,UNKNOWN,1,,,,,1/1/00 0:00,202963,No damage,,,UNKNOWN,New York,,,TRUE,FALSE,FOUND ON CENTERLLINE L & M,,Medium,,Northern harrier,,,,,0,0,0,0,,,,
Airplane,UNKNOWN,< 1000 ft,C-550,1,Other,DECREASED SPEED,FL,,1/1/00 0:00,203122,Caused damage,5 MI N HOMESTEAD AFB,2,US CUSTOMS AND BORDER PROTECTION,Florida,En Route,,FALSE,FALSE,SAW BIRD GO PAST RHS WINDSHLD THEN HEARD A THUMP. PIC IN R SEAT NOTED DMG ON LE OF RT WING. ALL TEMPS AND RPMS OK SO WE  CONTD TO HST. NOTIFIED TWR & LANDED W/O INCIDENT. AFTER STRIKE  SLOWED A/C TO 150 KTS. MIAMI METRO AREA HAS LANDFILL IN AREA OF OUR ST,,Large,,Unknown bird - large,1300,Day,,,0,0,0,,"1,000",,,200
Airplane,UNKNOWN,< 1000 ft,B-727-200,1,None,,,,1/1/00 0:00,204787,No damage,,3,AMERICAN AIRLINES,N/A,Take-off run,None,FALSE,FALSE,BLOOD & GUTS. POSTMARK MIAMI,1/1/00 0:00,Small,No Cloud,Unknown bird - small,,Dawn,Y,,0,0,0,0,0,,,
Airplane,CINCINNATI MUNI ARPT-LUNKEN FIELD,< 1000 ft,CITATION II,1,None,,,,1/2/00 0:00,201162,No damage,,2,BUSINESS,Ohio,Landing Roll,None,FALSE,FALSE,,,Small,Overcast,Unknown bird - small,,Day,N,,0,0,0,0,0,,,
Airplane,MIAMI INTL,> 1000 ft,DA-2000,1,None,,,,1/2/00 0:00,203926,No damage,,2,BUSINESS,Florida,Approach,None,FALSE,FALSE,,,Medium,No Cloud,Unknown bird - medium,1105,Day,Y,,0,0,0,,"2,000",,,
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-500,1,,,,,1/2/00 0:00,201161,No damage,,2,UNITED AIRLINES,California,Take-off run,None,FALSE,FALSE,BIRD FOUND STILL ALIVE. TAKEN TO REHAB.,,Small,No Cloud,Snowy egret,1027,Day,Y,,0,0,0,0,0,,,
