Unique number,"Возраст, полных лет",Гражданство,Стаж вождения,Пол,КБМ,Город,Марка,Модель,Тип ТС ,Год выпуска,Расположение руля,Объём двигателя,Цвет,Период страхования,Страховая премия,Льготы,Дата проишествия,Регион ДТП,Сумма убытка
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,23,25,26
74d88aec9cfe39a1bc5a93314c4326dc,30,Казахстан,10,М,8,Алматы,156,Alfa romeo,Легковые автомобили,01/12/2000,Слева,3000,красный,14.06.2013-13.06.2014,17625,,,,
c13fe1fef2192e82056e26544c3efed3,36,Казахстан,17,М,8,Нур-Султан,156,Alfa romeo,Легковые автомобили,01/12/2001,Слева,2387,синий,19.07.2013-18.07.2014,8484,,,,
8dd751c0f9c0cf216303a0d445099e1b,46,Казахстан,28,М,8,Алматы,Rsv 1000r,Aprilia,Мотоциклы и мотороллеры,01/12/2005,Слева,998,красный,07.06.2013-06.06.2014,8031,,,,
005f21aeed2db9c1694f724f365be6b5,45,Казахстан,13,М,7,Нур-Султан,80,Audi,Легковые автомобили,01/12/1992,Слева,1984,серебристый металлик архивный,30.05.2013-29.11.2013,6709,,,,
00a216cee7321c4514ecbe9cbd97a4eb,48,Казахстан,18,М,9,Затобольск,С4,Audi,Легковые автомобили,01/12/1995,Слева,2800,серый металлик,28.05.2013-27.05.2014,8257,,,,
00c017c98fad3a18151e93c9f264a97d,51,Казахстан,19,М,3,"Атбасар,Атбасар",100,Audi,Легковые автомобили,01/12/1982,Слева,1800,серый,29.05.2013-28.11.2013,4025,,,,
00c9737d887e35516044d9749d77e13c,64,Казахстан,14,М,8,Петропавловск,B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,синий металлик,11.06.2013-10.06.2014,9051,,,,
0198b1f0b325da85356eb37824643400,61,Казахстан,15,Ж,8,Алматы,A4,Audi,Легковые автомобили,01/12/2002,Слева,2976,серебристый металлик архивный,16.06.2013-15.06.2014,19975,,,,
0270099eadb1119766685c9c1d58b84d,44,Казахстан,11,М,8,Новоалександровка,80,Audi,Легковые автомобили,01/01/1988,Слева,1800,зелёный,29.05.2013-28.11.2013,3623,,,,
02d81ab4c537df1fc7e8a5a128640702,60,Россия,39,М,7,Павлодар,A6,Audi,Легковые автомобили,01/12/1996,Слева,1781,серый,27.05.2013-26.05.2014,9860,,,,
02fcd471d9e4b6024d21a3697c8892b5,32,Казахстан,15,М,8,"Атбасар,Атбасар",80,Audi,Легковые автомобили,01/01/1988,Слева,1760,красный,13.06.2013-12.06.2014,5988,,,,
031ae73941f4033aaf0e094e87c4f15f,50,Казахстан,31,М,9,Павлодар,100,Audi,Легковые автомобили,01/01/1988,Слева,1800,белый,16.06.2013-15.06.2014,8627,,,,
0369c297762ae7387e32eae11f42d39a,63,Казахстан,19,М,7,Атбасар,80 Avant,Audi,Легковые автомобили,01/12/1993,Слева,1984,серый,28.06.2013-27.12.2013,3203,,,,
0467f459444b8b00b1566c08dfe1ea2d,33,Казахстан,13,М,7,Атбасар,80 B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,серый,29.06.2013-28.06.2014,6388,,,,
054e2c2ac8a318c244fdc9be0582fead,69,Казахстан,20,М,9,"Атбасар,Атбасар",100,Audi,Легковые автомобили,01/01/1985,Слева,1962,коричневый,20.06.2013-19.06.2014,5589,Инвалид ,,,
059f1580756b0f0779daa54ee38eb79e,59,Казахстан,32,М,5,Костанай,89,Audi,Легковые автомобили,01/12/1990,Слева,1595,черный металлик,27.06.2013-26.12.2013,6653,,,,
05bff51d1afd7c91663a0bb876fb92f7,60,Казахстан,10,М,7,Атбасар,B4,Audi,Легковые автомобили,01/12/1994,Слева,1900,синий,07.06.2013-06.06.2014,7545,Инвалид ,,,
05fda6d1cf481d7710158bd6fbef063c,78,Казахстан,35,М,9,Нур-Султан,80,Audi,Легковые автомобили,01/01/1986,Слева,1800,серый,07.06.2013-06.06.2014,5822,Инвалид ,,,
060327c27583aa02228cbfe13ce93441,46,Казахстан,19,М,4,"Атбасар,Атбасар",80,Audi,Легковые автомобили,01/01/1986,Слева,1600,серый металлик,21.05.2013-20.05.2014,7585,,,,
06109136858364b21d36e10b54214899,29,Казахстан,10,М,4,"Атбасар,Атбасар",С4,Audi,Легковые автомобили,01/12/1992,Слева,2598,синий металлик,25.05.2013-24.12.2013,4670,,,,
074ae741f1b03f045a1a466a0b4273d0,50,Казахстан,17,М,9,Атбасар,A6,Audi,Легковые автомобили,01/12/2003,Слева,3000,темно-синий металлик,12.06.2013-11.06.2014,6388,,,,
07d5865afa12d06b6509e2c979ba8e5b,59,Казахстан,14,М,6,Алматы,80,Audi,Легковые автомобили,01/12/1991,Слева,1781,темно-вишневый,31.05.2013-30.05.2014,19024,,,,
081059efdc7664f506b78db3a7410633,66,Казахстан,25,М,8,Боралдай,С4,Audi,Легковые автомобили,01/01/1992,Слева,2800,белый,23.05.2013-22.05.2014,8075,,,,
